channel_name,date,subscriber_count
#bankofabyssinia,5/24/2024,-1
#bankofabyssinia,5/23/2024,24
#bankofabyssinia,5/22/2024,-104
#bankofabyssinia,5/21/2024,-10
#bankofabyssinia,5/20/2024,104
#bankofabyssinia,5/19/2024,5
#bankofabyssinia,5/18/2024,-6
#bankofabyssinia,5/17/2024,4
#bankofabyssinia,5/16/2024,65
#bankofabyssinia,5/15/2024,47
#bankofabyssinia,5/14/2024,115
#bankofabyssinia,5/13/2024,108
#bankofabyssinia,12/5/2024,2
#bankofabyssinia,11/5/2024,7
#bankofabyssinia,10/5/2024,-25
#bankofabyssinia,9/5/2024,33
#bankofabyssinia,8/5/2024,-2
#bankofabyssinia,7/5/2024,90
#bankofabyssinia,6/5/2024,28
#bankofabyssinia,5/5/2024,-72
#bankofabyssinia,4/5/2024,32
#bankofabyssinia,3/5/2024,52
#bankofabyssinia,2/5/2024,6
#bankofabyssinia,1/5/2024,-113
#bankofabyssinia,4/30/2024,-27
#bankofabyssinia,4/29/2024,-74
#bankofabyssinia,4/28/2024,-63
#bankofabyssinia,4/27/2024,-39
#bankofabyssinia,4/26/2024,-90
#bankofabyssinia,4/25/2024,-60
#bankofabyssinia,4/24/2024,-104
#bankofabyssinia,4/23/2024,-14
#bankofabyssinia,4/22/2024,-50
#bankofabyssinia,4/21/2024,-61
#bankofabyssinia,4/20/2024,-57
#bankofabyssinia,4/19/2024,-111
#bankofabyssinia,4/18/2024,-96
#bankofabyssinia,4/17/2024,-101
#bankofabyssinia,4/16/2024,9
#bankofabyssinia,4/15/2024,-8
#bankofabyssinia,4/14/2024,-49
#bankofabyssinia,4/13/2024,-81
#bankofabyssinia,12/4/2024,-101
#bankofabyssinia,11/4/2024,-32
#bankofabyssinia,10/4/2024,-93
#bankofabyssinia,9/4/2024,-75
#bankofabyssinia,8/4/2024,19
#bankofabyssinia,7/4/2024,-39
#bankofabyssinia,6/4/2024,-32
#bankofabyssinia,5/4/2024,-73
#bankofabyssinia,4/4/2024,-46
#bankofabyssinia,3/4/2024,-59
#bankofabyssinia,2/4/2024,-42
#bankofabyssinia,1/4/2024,-72
#bankofabyssinia,3/31/2024,-100
#bankofabyssinia,3/30/2024,-67
#bankofabyssinia,3/29/2024,-28
#bankofabyssinia,3/28/2024,-27
#bankofabyssinia,3/27/2024,-70
#bankofabyssinia,3/26/2024,11
#bankofabyssinia,3/25/2024,23
#bankofabyssinia,3/24/2024,-75
#bankofabyssinia,3/23/2024,6
