keyword,post_link,views,date,post_hour
,https://t.me/tikvahethiopia/87794,211354,2024-05-21,12:40:51
"#bank, #bankofabyssinia",https://t.me/tikvahethiopia/87693,240558,2024-05-17,08:08:16
#bank,https://t.me/tikvahethiopia/87636,249862,2024-05-14,07:49:21
"#bank, #bankofabyssinia",https://t.me/tikvahethiopia/87532,280144,2024-05-10,13:39:46
"#bank, #bankofabyssinia",https://t.me/tikvahethiopia/87496,304225,2024-05-07,10:46:34
"#bank, #bankofabyssinia",https://t.me/tikvahethiopia/87443,276586,2024-05-03,16:40:40
"#bank, #bankofabyssinia",https://t.me/tikvahethiopia/87344,234557,2024-04-30,17:01:34
"#bank, #bankofabyssinia",https://t.me/tikvahethiopia/87236,263870,2024-04-26,18:11:43
#bank,https://t.me/tikvahethiopia/87134,293083,2024-04-23,14:23:46
#CBE,https://t.me/tikvahethiopia/87071,311414,2024-04-21,11:52:03
,https://t.me/tikvahethiopia/87018,292015,2024-04-19,17:11:18
#bank,https://t.me/tikvahethiopia/86950,295222,2024-04-16,08:12:46
"#bank, #bankofabyssinia",https://t.me/tikvahethiopia/86867,322142,2024-04-12,18:20:16
"#bank, #bankofabyssinia",https://t.me/tikvahethiopia/86831,273450,2024-04-11,08:06:04
,https://t.me/tikvahethiopia/86555,284310,2024-04-02,11:13:01
#CBE,https://t.me/tikvahethiopia/86521,300436,2024-03-30,20:38:14
#CBE,https://t.me/tikvahethiopia/86512,321842,2024-03-30,12:47:16
#GlobalBankEthiopia,https://t.me/tikvahethiopia/86494,255161,2024-03-30,11:46:46
#bank,https://t.me/tikvahethiopia/86471,276886,2024-03-29,11:47:27
#CBE,https://t.me/tikvahethiopia/86450,250391,2024-03-28,14:33:02
#CBE,https://t.me/tikvahethiopia/86376,297654,2024-03-27,09:06:13
,https://t.me/tikvahethiopia/86335,238370,2024-03-26,17:41:31
"#GBE, #GlobalBankEthiopia",https://t.me/tikvahethiopia/86225,280811,2024-03-23,11:02:14
,https://t.me/tikvahethiopia/86200,287620,2024-03-22,08:49:39
"#GBE, #GlobalBankEthiopia",https://t.me/tikvahethiopia/86185,265781,2024-03-21,14:15:28
#CBE,https://t.me/tikvahethiopia/86164,303189,2024-03-20,17:57:31
#CBE,https://t.me/tikvahethiopia/86125,330651,2024-03-18,15:25:30
#CBE,https://t.me/tikvahethiopia/86115,300063,2024-03-18,13:13:44
#CBE,https://t.me/tikvahethiopia/86095,296615,2024-03-17,16:21:46
#CBE,https://t.me/tikvahethiopia/85979,270562,2024-03-14,16:23:16
"#GBE, #GlobalBankEthiopia",https://t.me/tikvahethiopia/85837,257744,2024-03-09,14:18:31
,https://t.me/tikvahethiopia/85730,239177,2024-03-05,08:33:29
"#GBE, #GlobalBankEthiopia",https://t.me/tikvahethiopia/85685,259097,2024-03-03,13:08:54
